,Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Levinson Age Group
0,1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,Settling Down
1,2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,Entering the Adult World
2,3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,Age 50 Transition
3,4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,Settling Down
4,5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,Age 30 Transition
5,6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,Entering the Middle Years
6,7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,Entering the Middle Years
7,8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,Age 30 Transition
8,9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,Late Adulthood
9,10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,Age 50 Transition
10,11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,Entering the Adult World
11,12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,Settling Down
12,13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,Entering the Adult World
13,14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,Late Adulthood
14,15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,Mid-Life Transition
15,16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,Early Adult Transition
16,17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,Entering the Adult World
17,18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,Entering the Middle Years
18,19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,Late Adulthood
19,20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,Entering the Adult World
20,21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,Age 50 Transition
21,22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,Early Adult Transition
22,23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,Settling Down
23,24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,Entering the Middle Years
24,25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,Late Adulthood
25,26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,Age 30 Transition
26,27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,Settling Down
27,28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,Mid-Life Transition
28,29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,Mid-Life Transition
29,30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,Settling Down
30,31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,Mid-Life Transition
31,32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,Age 30 Transition
32,33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,Age 50 Transition
33,34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,Age 50 Transition
34,35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,Late Adulthood
35,36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,Age 50 Transition
36,37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,Early Adult Transition
37,38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,Settling Down
38,39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,Entering the Adult World
39,40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,Entering the Middle Years
40,41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,Settling Down
41,42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,Entering the Adult World
42,43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,Entering the Middle Years
43,44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,Entering the Adult World
44,45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,Late Adulthood
45,46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,Early Adult Transition
46,47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,Mid-Life Transition
47,48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,Age 50 Transition
48,49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,Age 50 Transition
49,50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,Entering the Adult World
50,51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,Entering the Adult World
51,52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,Settling Down
52,53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,Settling Down
53,54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,Settling Down
54,55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,Age 30 Transition
55,56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,Entering the Adult World
56,57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,Late Adulthood
57,58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,Early Adult Transition
58,59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,Late Adulthood
59,60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,Age 30 Transition
60,61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,Early Adult Transition
61,62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,Early Adult Transition
62,63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,Late Adulthood
63,64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,Entering the Middle Years
64,65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,Age 50 Transition
65,66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,Entering the Middle Years
66,67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,Entering the Middle Years
67,68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,Entering the Adult World
68,69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,Late Adulthood
69,70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,Mid-Life Transition
70,71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,Age 50 Transition
71,72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,Early Adult Transition
72,73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,Age 30 Transition
73,74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,Early Adult Transition
74,75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,Late Adulthood
75,76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,Entering the Adult World
76,77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,Entering the Middle Years
77,78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,Entering the Middle Years
78,79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,Settling Down
79,80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,Late Adulthood
80,81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,Mid-Life Transition
81,82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,Age 30 Transition
82,83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,Age 50 Transition
83,84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,Settling Down
84,85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,Age 30 Transition
85,86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,Early Adult Transition
86,87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,Age 30 Transition
87,88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,Late Adulthood
88,89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,Late Adulthood
89,90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,Age 50 Transition
90,91,2023-03-25,CUST091,Female,55,Electronics,1,500,500,Late Adulthood
91,92,2023-08-25,CUST092,Female,51,Electronics,4,30,120,Age 50 Transition
92,93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000,Settling Down
93,94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000,Entering the Middle Years
94,95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,Age 30 Transition
95,96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,Mid-Life Transition
96,97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000,Age 50 Transition
97,98,2023-04-23,CUST098,Female,55,Beauty,2,50,100,Late Adulthood
98,99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200,Age 50 Transition
99,100,2023-06-16,CUST100,Male,41,Electronics,1,30,30,Mid-Life Transition
100,101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,Age 30 Transition
101,102,2023-04-28,CUST102,Female,47,Beauty,2,25,50,Entering the Middle Years
102,103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,Late Adulthood
103,104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000,Settling Down
104,105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,Entering the Adult World
105,106,2023-05-18,CUST106,Female,46,Clothing,1,50,50,Entering the Middle Years
106,107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,Early Adult Transition
107,108,2023-04-19,CUST108,Female,27,Beauty,3,25,75,Entering the Adult World
108,109,2023-10-18,CUST109,Female,34,Electronics,4,500,2000,Settling Down
109,110,2023-06-11,CUST110,Male,27,Clothing,3,300,900,Entering the Adult World
110,111,2023-04-19,CUST111,Female,34,Electronics,3,500,1500,Settling Down
111,112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500,Settling Down
112,113,2023-09-13,CUST113,Female,41,Electronics,2,25,50,Mid-Life Transition
113,114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,Entering the Adult World
114,115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500,Age 50 Transition
115,116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,Entering the Adult World
116,117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,Early Adult Transition
117,118,2023-05-16,CUST118,Female,30,Electronics,4,500,2000,Age 30 Transition
118,119,2023-03-13,CUST119,Female,60,Clothing,3,50,150,Late Adulthood
119,120,2023-05-07,CUST120,Male,60,Beauty,1,50,50,Late Adulthood
120,121,2023-10-15,CUST121,Female,28,Electronics,4,50,200,Age 30 Transition
121,122,2023-10-03,CUST122,Male,64,Electronics,4,30,120,Late Adulthood
122,123,2023-05-15,CUST123,Female,40,Electronics,2,30,60,Mid-Life Transition
123,124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000,Settling Down
124,125,2023-08-08,CUST125,Male,48,Clothing,2,50,100,Entering the Middle Years
125,126,2023-10-26,CUST126,Female,28,Clothing,3,30,90,Age 30 Transition
126,127,2023-07-24,CUST127,Female,33,Clothing,2,25,50,Settling Down
127,128,2023-07-05,CUST128,Male,25,Beauty,1,500,500,Entering the Adult World
128,129,2023-04-23,CUST129,Female,21,Beauty,2,300,600,Early Adult Transition
129,130,2023-03-12,CUST130,Female,57,Clothing,1,500,500,Late Adulthood
130,131,2023-09-18,CUST131,Female,21,Beauty,2,300,600,Early Adult Transition
131,132,2023-09-10,CUST132,Male,42,Electronics,4,50,200,Mid-Life Transition
132,133,2023-02-16,CUST133,Male,20,Electronics,3,300,900,Early Adult Transition
133,134,2023-01-25,CUST134,Male,49,Electronics,1,50,50,Entering the Middle Years
134,135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,Early Adult Transition
135,136,2023-03-20,CUST136,Male,44,Electronics,2,300,600,Mid-Life Transition
136,137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000,Entering the Middle Years
137,138,2023-03-23,CUST138,Male,49,Clothing,4,50,200,Entering the Middle Years
138,139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000,Settling Down
139,140,2023-08-05,CUST140,Male,38,Electronics,1,30,30,Settling Down
140,141,2023-11-02,CUST141,Female,22,Electronics,1,50,50,Entering the Adult World
141,142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200,Settling Down
142,143,2023-07-17,CUST143,Female,45,Clothing,1,50,50,Entering the Middle Years
143,144,2023-07-15,CUST144,Female,59,Beauty,3,500,1500,Late Adulthood
144,145,2023-11-02,CUST145,Female,39,Clothing,3,25,75,Settling Down
145,146,2023-08-28,CUST146,Male,38,Clothing,4,50,200,Settling Down
146,147,2023-09-28,CUST147,Male,23,Electronics,1,300,300,Entering the Adult World
147,148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,Early Adult Transition
148,149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,Entering the Adult World
149,150,2023-01-06,CUST150,Female,58,Electronics,4,30,120,Late Adulthood
150,151,2023-12-15,CUST151,Male,29,Clothing,1,50,50,Age 30 Transition
151,152,2023-02-28,CUST152,Male,43,Electronics,4,500,2000,Mid-Life Transition
152,153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000,Late Adulthood
153,154,2023-10-02,CUST154,Male,51,Electronics,3,300,900,Age 50 Transition
154,155,2023-05-17,CUST155,Male,31,Electronics,4,500,2000,Age 30 Transition
155,156,2023-11-25,CUST156,Female,43,Clothing,4,25,100,Mid-Life Transition
156,157,2023-06-24,CUST157,Male,62,Electronics,4,500,2000,Late Adulthood
157,158,2023-02-27,CUST158,Female,44,Electronics,2,300,600,Mid-Life Transition
158,159,2023-05-31,CUST159,Male,26,Clothing,4,50,200,Entering the Adult World
159,160,2023-08-11,CUST160,Female,43,Clothing,2,50,100,Mid-Life Transition
160,161,2023-03-22,CUST161,Male,64,Beauty,2,500,1000,Late Adulthood
161,162,2023-08-21,CUST162,Male,39,Clothing,2,30,60,Settling Down
162,163,2023-01-02,CUST163,Female,64,Clothing,3,50,150,Late Adulthood
163,164,2023-05-15,CUST164,Female,47,Beauty,3,500,1500,Entering the Middle Years
164,165,2023-09-14,CUST165,Female,60,Clothing,4,300,1200,Late Adulthood
165,166,2023-04-02,CUST166,Male,34,Clothing,4,500,2000,Settling Down
166,167,2023-09-17,CUST167,Female,43,Clothing,3,50,150,Mid-Life Transition
167,168,2023-02-24,CUST168,Male,53,Clothing,1,300,300,Age 50 Transition
168,169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500,Early Adult Transition
169,170,2023-06-02,CUST170,Female,25,Clothing,2,25,50,Entering the Adult World
170,171,2023-11-24,CUST171,Female,52,Clothing,3,300,900,Age 50 Transition
171,172,2023-09-17,CUST172,Male,32,Beauty,2,25,50,Age 30 Transition
172,173,2023-11-08,CUST173,Male,64,Electronics,4,30,120,Late Adulthood
173,174,2023-04-12,CUST174,Female,39,Beauty,1,300,300,Settling Down
174,175,2023-03-20,CUST175,Female,31,Electronics,4,25,100,Age 30 Transition
175,176,2023-07-11,CUST176,Female,43,Beauty,2,50,100,Mid-Life Transition
176,177,2023-03-24,CUST177,Male,45,Beauty,2,50,100,Entering the Middle Years
177,178,2023-10-04,CUST178,Male,40,Clothing,2,30,60,Mid-Life Transition
178,179,2023-09-29,CUST179,Male,31,Electronics,1,300,300,Age 30 Transition
179,180,2023-01-01,CUST180,Male,41,Clothing,3,300,900,Mid-Life Transition
